"local_relative_path","public_repository_path","file_type","local_byte_size","local_sha256","text_readability","public_counterpart_existed_at_audit_start","public_sha256_at_audit_start","identity_verdict_at_audit_start"
"zotero-collection-manager/agents/openai.yaml","skills/zotero-collection-manager/agents/openai.yaml","YAML",250,"99B7673CD0C61934E50E189ED3FAB5B989A80552A85885A8E3033230A33ED4E8","UTF8_OK","FALSE","","MISSING_PUBLIC"
"zotero-collection-manager/scripts/__pycache__/evidence_migration_executor.cpython-311.pyc","skills/zotero-collection-manager/scripts/__pycache__/evidence_migration_executor.cpython-311.pyc","Python bytecode",32637,"5FF8F7D8717DF89438983A2649A86B0DF48D6A469C7FF03C11C0C1FD7F8BF94B","BINARY_NOT_TEXT","FALSE","","LOCAL_ONLY_RUNTIME_OR_PRIVATE_EXCLUDED"
"zotero-collection-manager/scripts/__pycache__/evidence_migration_planner.cpython-311.pyc","skills/zotero-collection-manager/scripts/__pycache__/evidence_migration_planner.cpython-311.pyc","Python bytecode",33395,"B7D6032852BD3D5EB0D16208A2DD5246EEA170A494AA5FDB2905E77D734A7AB1","BINARY_NOT_TEXT","FALSE","","LOCAL_ONLY_RUNTIME_OR_PRIVATE_EXCLUDED"
"zotero-collection-manager/scripts/__pycache__/safety_io.cpython-311.pyc","skills/zotero-collection-manager/scripts/__pycache__/safety_io.cpython-311.pyc","Python bytecode",7230,"9F2491C1CDC129B4911485481C2E5FA35992ABB6E4DC28FA9A1F47D865B30504","BINARY_NOT_TEXT","FALSE","","LOCAL_ONLY_RUNTIME_OR_PRIVATE_EXCLUDED"
"zotero-collection-manager/scripts/batch_import_collection.py","skills/zotero-collection-manager/scripts/batch_import_collection.py","Python",26771,"28E2027855A7D9344C40E90393B3E12005C5D594CF81D5C96E43C895D2193A0E","UTF8_OK","TRUE","E9033C32116FF7A27D490296D63209EACF5978FA3DACF9C3EC30012B510CFD24","REVIEW_REQUIRED"
"zotero-collection-manager/scripts/deep_read_all_imported.py","skills/zotero-collection-manager/scripts/deep_read_all_imported.py","Python",10119,"3C28EF522CEEA3DCB5F5B82579F52D476C35BB0A20927F049648C13846651521","UTF8_OK","TRUE","029B194288C18F3C521DAFC855FDC30D265ED85C9813FD4337CE7D4A2B0E83F9","REVIEW_REQUIRED"
"zotero-collection-manager/scripts/deep_read_collection.py","skills/zotero-collection-manager/scripts/deep_read_collection.py","Python",35309,"7817755FD044DADEA1CC4E80B4221D1AC7FC0C9F538ED3439BC778DBFFF9C4E7","UTF8_OK","TRUE","E18873C78D44C19BEADE3CC5D0B920933FE6E27866FFA293794C3D5D2248FF73","REVIEW_REQUIRED"
"zotero-collection-manager/scripts/evidence_migration_executor.py","skills/zotero-collection-manager/scripts/evidence_migration_executor.py","Python",23875,"3EAFD0B23E089C10C4310EFA277871A93F6B82D0FDEA99827DF438100BDD8865","UTF8_OK","TRUE","C425665E4BA626465B3CF18DC65EB5BF9E8C1A2C8383C507B8256CE21488D063","REVIEW_REQUIRED"
"zotero-collection-manager/scripts/evidence_migration_planner.py","skills/zotero-collection-manager/scripts/evidence_migration_planner.py","Python",21995,"8379079BFC696569C772760980A5FD68986C3F04A2E3FE798DC704E7CED019D7","UTF8_OK","TRUE","BF9DA3F2BFB9F3E28ECDA4481667B0057CDBD33B6A87C5A3BDC23D8D745931A8","REVIEW_REQUIRED"
"zotero-collection-manager/scripts/import_unimported_report.py","skills/zotero-collection-manager/scripts/import_unimported_report.py","Python",12164,"D6CB4F7D46DBDF09E5B9E9024137B8F43AD273136A197F113613A12395F1AF60","UTF8_OK","TRUE","89B98404102A0E55D9456A8DD85F658F86D4625F0BFAB68F4C89105252CD7C20","REVIEW_REQUIRED"
