"file_id","public_path","git_blob","public_sha256","local_path","local_sha256","local_hash_evidence","identity_status","local_overlay_status","license_or_provenance_route","privacy_status","submission_inclusion_status"
"FDB-001","skills/zotero-collection-manager/SKILL.md","5826dacff6fe382295c8d34520b707a50a5713a1","5C1A5D34613690211C9863BAE1CD6BCA6A4AA1A1D49E7514169B74EED51C8323","<codex_home>/skills/zotero-collection-manager/SKILL.md","ACFF12365662F47EDDD4755C51D8B010316496AEB5D5F7A2993319F3E2FB982A","ACCEPTED_521EF5D_LOCAL_MANIFEST","SEPARATELY_LICENSED_FIXED_COUNTERPART","RECORDED_LOCAL_CONFIGURATION_VARIANT","EXISTING_ETERNITY_PERMISSION_COVERS","PASS","INCLUDED"
"FDB-002","skills/zotero-data-fetcher/SKILL.md","31ade3273b9e179c996e4ae7e6be51b9494ddc92","4D3DF3490BD8D84E8C2236233BF46DAAFB6EEE53D6EB8CC5F854F5BF14ACC081","<codex_home>/skills/zotero-data-fetcher/SKILL.md","4D3DF3490BD8D84E8C2236233BF46DAAFB6EEE53D6EB8CC5F854F5BF14ACC081","ACCEPTED_521EF5D_LOCAL_MANIFEST","SEPARATELY_LICENSED_FIXED_COUNTERPART","NONE","EXISTING_ETERNITY_PERMISSION_COVERS","PASS","INCLUDED"
"FDB-003","skills/zotero-analytical-writer/SKILL.md","2a68954ae627981a5859661288f6506762d02979","7FBF59315433CEC8277B7DFB76AF54499031183A764AC86B08B7DF11877EEF04","<codex_home>/skills/zotero-analytical-writer/SKILL.md","7FBF59315433CEC8277B7DFB76AF54499031183A764AC86B08B7DF11877EEF04","ACCEPTED_521EF5D_LOCAL_MANIFEST","SEPARATELY_LICENSED_FIXED_COUNTERPART","NONE","EXISTING_ETERNITY_PERMISSION_COVERS","PASS","INCLUDED"
"FDB-004","skills/zotero-collection-manager/agents/openai.yaml","6054b960a2ff3f3b12fe6c447fc4b76e35d547e7","99B7673CD0C61934E50E189ED3FAB5B989A80552A85885A8E3033230A33ED4E8","<codex_home>/skills/zotero-collection-manager/agents/openai.yaml","99B7673CD0C61934E50E189ED3FAB5B989A80552A85885A8E3033230A33ED4E8","ACCEPTED_521EF5D_LOCAL_MANIFEST","IDENTICAL_PUBLIC_AND_LOCAL","NONE","PLATFORM_REFERENCE_AND_INDEPENDENT_TEXT","PASS","INCLUDED"
"FDB-005","skills/zotero-data-fetcher/agents/openai.yaml","e36098a0f99f999a54c81888eedc014ffb453779","6296463E9819647B18EA76B2260BD1734DFE3B75C5AEBF8A8117241D9DE25997","<codex_home>/skills/zotero-data-fetcher/agents/openai.yaml","6296463E9819647B18EA76B2260BD1734DFE3B75C5AEBF8A8117241D9DE25997","ACCEPTED_521EF5D_LOCAL_MANIFEST","IDENTICAL_PUBLIC_AND_LOCAL","NONE","PLATFORM_REFERENCE_AND_INDEPENDENT_TEXT","PASS","INCLUDED"
"FDB-006","skills/zotero-analytical-writer/agents/openai.yaml","0a89160fd242c7f517adb8f206aae3f987824838","340A34BFC35BA59032376E006579533A50E7C868FEF87E1546B3E6AD6A98E286","<codex_home>/skills/zotero-analytical-writer/agents/openai.yaml","340A34BFC35BA59032376E006579533A50E7C868FEF87E1546B3E6AD6A98E286","ACCEPTED_521EF5D_LOCAL_MANIFEST","IDENTICAL_PUBLIC_AND_LOCAL","NONE","PLATFORM_REFERENCE_AND_INDEPENDENT_TEXT","PASS","INCLUDED"
"FDB-007","skills/zotero-collection-manager/scripts/batch_import_collection.py","bf15505e7338a5d4741640314c648ccacfab2e2a","AAE9EF11A2CF79CA23DD16511DA62F5DDCEB789C5E804BD1674B0C772AADCC30","<codex_home>/skills/zotero-collection-manager/scripts/batch_import_collection.py","AAE9EF11A2CF79CA23DD16511DA62F5DDCEB789C5E804BD1674B0C772AADCC30","LIVE_POST_SYNC_VERIFIED","IDENTICAL_PUBLIC_AND_LOCAL","NONE","GENERIC_AND_INDEPENDENT_CLEAN_REWRITE","PASS","INCLUDED"
"FDB-008","skills/zotero-collection-manager/scripts/classification.py","0d1a493a35baaf614f59773218db4c56bf8a1349","081E17747474416041212BEB4B331C3517503746DD9FDF543DDE045065BA2CA7","<codex_home>/skills/zotero-collection-manager/scripts/classification.py","081E17747474416041212BEB4B331C3517503746DD9FDF543DDE045065BA2CA7","LIVE_POST_SYNC_VERIFIED","IDENTICAL_PUBLIC_AND_LOCAL","NONE","INDEPENDENT_CLEAN_REWRITE","PASS","INCLUDED"
"FDB-009","skills/zotero-collection-manager/scripts/deep_read_all_imported.py","6f31cc3a86a0ea6b3e7ece1c991a9a1d077208cb","029B194288C18F3C521DAFC855FDC30D265ED85C9813FD4337CE7D4A2B0E83F9","<codex_home>/skills/zotero-collection-manager/scripts/deep_read_all_imported.py","3C28EF522CEEA3DCB5F5B82579F52D476C35BB0A20927F049648C13846651521","ACCEPTED_521EF5D_LOCAL_MANIFEST","SANITIZED_PUBLIC_LOCAL_CONFIGURATION_OVERLAY","RECORDED_MACHINE_SPECIFIC_DEFAULTS_EXCLUDED_FROM_PUBLIC","INDEPENDENTLY_AUTHORED","PASS","INCLUDED"
"FDB-010","skills/zotero-collection-manager/scripts/deep_read_collection.py","13bda6ec2a6bb5050b2cc100a14976dfd8869be2","59AC4548A785B626D4903EB2384F1C1D72B64C628FF0056F19DD1FF6945EB7A4","<codex_home>/skills/zotero-collection-manager/scripts/deep_read_collection.py","59AC4548A785B626D4903EB2384F1C1D72B64C628FF0056F19DD1FF6945EB7A4","LIVE_POST_SYNC_VERIFIED","IDENTICAL_PUBLIC_AND_LOCAL","NONE","INDEPENDENTLY_AUTHORED_AND_CLEAN_REWRITE","PASS","INCLUDED"
